End_Station Id,End_Station_Name,End_Latitude,End_Longitude
6809.07,W 56 St & 6 Ave,40.76340613,-73.97722479
6822.09,1 Ave & E 68 St,40.76500525,-73.95818491
6839.1,Grand Army Plaza & Central Park S,40.7643971,-73.97371465
6839.1,Grand Army Plaza & Central Park S,40.7643971,-73.97371465
6854.05,W 50 St & 9 Ave,40.76360468,-73.98917958
6876.04,Central Park S & 6 Ave,40.76590936,-73.97634151
6884.03,W 56 St & 8 Ave,40.76595918,-73.98313522
6890.06,W 50 St & 10 Ave,40.7647342,-73.9919436
6904.06,5 Ave & E 63 St,40.766368,-73.971518
6925.09,2 Ave & E 72 St,40.76876203,-73.95840794
6926.01,W 52 St & 11 Ave,40.76727216,-73.99392888
6948.1,Broadway & W 58 St,40.76695317,-73.98169333
6948.1,Broadway & W 58 St,40.76695317,-73.98169333
6955.01,W 56 St & 10 Ave,40.768254,-73.988639
6955.05,W 54 St & 11 Ave,40.768333,-73.992573
7014.12,Broadway & W 61 St,40.7700301,-73.98196846
7023.04,W 59 St & 10 Ave,40.770513,-73.988038
7059.01,11 Ave & W 59 St,40.77149671,-73.99046034
,,40.77149671,-73.99046034
7079.06,Central Park West & W 68 St,40.7734066,-73.97782542
7116.04,W 67 St & Broadway,40.77492513,-73.98266566
7183.03,Riverside Blvd & W 67 St,40.77750703,-73.98888588
7188.13,Madison Ave & E 82 St,40.7781314,-73.96069399
7207.08,W 70 St & Amsterdam Ave,40.77748046,-73.98288594
7281.09,W 76 St & Columbus Ave,40.78018397,-73.97728533
7288.04,Riverside Dr & W 72 St,40.78057799,-73.98562431
7311.02,Amsterdam Ave & W 79 St,40.7829391,-73.9786517
7360.1,Amsterdam Ave & W 82 St,40.78524672,-73.97667321
7409.08,W 84 St & Broadway,40.7867947,-73.977112
7450.05,Pleasant Ave & E 116 St,40.7949879,-73.9333349
7520.07,Columbus Ave & W 95 St,40.7919557,-73.968087
7524.16,Riverside Dr & W 91 St,40.79313481,-73.97700369
7538.14,W 100 St & Manhattan Ave,40.795,-73.9645
7596.1,E 118 St & 1 Ave,40.79747,-73.93504
7606.01,W 106 St & Central Park West,40.7981856,-73.9605909
7610.13,W 104 St & Amsterdam Ave,40.79904139,-73.9664948
7617.07,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613
7650.05,West End Ave & W 107 St,40.8021174,-73.96818053
7692.11,W 116 St & Amsterdam Ave,40.8067581,-73.9607082
7701.21,5 Ave & W 126 St,40.80722,-73.9418
7713.11,W 116 St & Broadway,40.8082,-73.9641
7814.01,Adam Clayton Powell Blvd & W 132 St,40.813539,-73.94521
7915.11,Edgecombe Ave & W 141 St,40.820681,-73.945144
7922.01,Faile St & Garrison Ave,40.820578,-73.888271
7937.15,St. Nicholas Terrace & Convent Ave,40.821294,-73.947868
7942.21,Riverside Dr & W 138 St,40.823168,-73.955857
8013.07,St Nicholas Ave & W 150 St,40.827212,-73.942722
8108.02,Riverside Dr & W 153 St,40.832164,-73.949702
8123.02,Broadway & W 155 St,40.83299,-73.94592
8157.06,Broadway & W 160 St,40.835775,-73.9434
8213.01,Plaza Dr & W 170 St,40.840484,-73.917946
8226.07,W 168th S & Fort Washington Ave,40.84210236,-73.94223958
8299.03,Wadsworth Ave & W 175 St,40.846052,-73.937648
8320.01,Fort Washington Ave & W 173 St,40.84522,-73.940493
8358.1,Cabrini Blvd & W 177 St,40.848282,-73.941343
8358.03,W 180 St & Ft Washington Ave,40.849972,-73.938423
8358.1,Cabrini Blvd & W 177 St,40.848282,-73.941343
8381.04,W 181 St & Riverside Dr,40.85168,-73.94186
HB101,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758,-74.03030455
,,40.73593758,-74.03030455
,,40.735938,-74.030305
HB102,Hoboken Terminal - River St & Hudson Pl,40.73606766,-74.02912706
,,40.73606766,-74.02912706
,,40.736068,-74.029127
HB103,South Waterfront Walkway - Sinatra Dr & 1 St,40.736982,-74.027781
,,40.73698222,-74.02778059
